institution,credit_code,category,pillar,credit_name,indicator,section,field,value,units,value_numeric,value_type,links
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Description or text of the promotion/tenure guidelines or policies that explicitly recognize community-based research,"The previously mentioned promotion guidelines also give specific mention to: ""Significant and consistent contribution to the community, profession, industry and public service at local, regional, national and international level evidenced e.g. neighbourhood, community and regional development and regeneration, lifelong learning, accessto education, volunteering and supporting civil society organisations"" as well as: ""Highly Impactful application of research informed practices, experience and expertise to addressing societal challenges at a local, regional, national or global level e.g. contribution to collaborative projects and initiatives under the UN Sustainable Development Goals.""",,,text_long,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Do the promotion/tenure guidelines or policies that recognize community-based research cover all of the institution’s research-producing academic divisions?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Does the institution have published promotion or tenure guidelines or policies that give explicit positive recognition to research impact or reach outside of academic journals?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Description or text of the promotion/tenure guidelines or policies that explicitly recognize research impact or reach outside of academic journals,"See page 25 of the Regulation for promotion to Professor Scale 2 C2: ""including but not limited to public output on local, national and international media gaining local, national or international recognition for the discipline and University."" https://www.ucc.ie/en/media/support/ocla/statutesregulations/documents/RegulationonAcademicPromotiontoProfessorScale2v1.3.pdf",,,text_long,https://www.ucc.ie/en/media/support/ocla/statutesregulations/documents/RegulationonAcademicPromotiontoProfessorScale2v1.3.pdf
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Do the promotion/tenure guidelines or policies that recognize research impact or reach outside of academic journals cover all of the institution’s research-producing academic divisions?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Online location of the institution’s promotion/tenure guidelines or policies,https://www.ucc.ie/en/media/support/hr/RubricPromotionLecturertoSnrLecturerApril24.pdf,,,url,https://www.ucc.ie/en/media/support/hr/RubricPromotionLecturertoSnrLecturerApril24.pdf
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Copy of the institution’s promotion/tenure guidelines or policies,,,,not_reported,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,"8.2 Recognition of integrated, community-based, and extra-academic research",,Points earned for indicator AC 8.2,3,,3.0,number,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.3 Inter-campus collaboration for responsible research and innovation,,Does the institution participate in one or more inter-campus research collaboratives that have an explicit mission to promote responsible research and innovation?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.3 Inter-campus collaboration for responsible research and innovation,,Description of the institution’s inter-campus collaborations for responsible research and innovation,"The National Forum on Research Integrity (NRIF) was established in June 2015. It is coordinated by the Irish Universities Association (IUA) and the Technological Higher Education Association (THEA). In 2022, the NRIF was re-structured into two element including a focused Steering Group where strategic issues related to Conduct of Research and Research Integrity are discussed among key senior stakeholders. The group is chaired by Professor Anita Maguire from University College Cork. UCC is leading the development of an Engaged & Inclusive Research Culture Alliance (ERICA) through its Wellcome Trust funded project aimed at positively enculturating Early Career Researchers into a healthy research environment that is inclusive in design and practice, ethical and engaged. https://wellcome.org/research-funding/funding-portfolio/funded-grants/external-voice-defining-engaged-and-inclusive In addition, UCC's Dr Siobhán Cusack (Director of Research Strategy and Projects) is a member of the national Research and Innovation Policy Advisory Forum, which was established to advise the Minister for Further and Higher Education on implementation of Ireland's Research 2030 strategy. Research Culture is a key element of the Strategy as detailed in pages 28 and 29 of this document - https://assets.gov.ie/static/documents/impact-2030-irelands-research-and-innovation-strategy.pdf Other relevant networks that UCC is a member of include: - CoARA National Chapter ( https://coara.eu/ ) - Irish University Association ( https://www.iua.ie/ourwork/research-innovation/ ) pursuing and implementing common policies and actions, including Policy development for supporting research, Specific Operations to support access to funding, Supporting Researchers Careers - https://unic.eu/fr/opensciencecampus",,,text_long,https://wellcome.org/research-funding/funding-portfolio/funded-grants/external-voice-defining-engaged-and-inclusive https://assets.gov.ie/static/documents/impact-2030-irelands-research-and-innovation-strategy.pdf https://coara.eu/ https://www.iua.ie/ourwork/research-innovation/
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.3 Inter-campus collaboration for responsible research and innovation,,Points earned for indicator AC 8.3,1,,1.0,number,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,"Does the institution offer repository hosting that makes versions of journal articles, book chapters, and other peer-reviewed scholarly works by its employees freely available on the public internet?",Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Narrative and/or website URL providing an overview of the open access repository,Cork Open Research Archive (CORA) is UCC’s Open Access institutional repository which enables UCC researchers to make their research outputs freely available and accessible. https://cora.ucc.ie/home,,,text,https://cora.ucc.ie/home
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Does the institution have one or more published policies that require its employees to publish scholarly works open access or archive final post-peer reviewed versions of scholarly works in an open access repository?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Do the open access policies cover all of the institution’s research-producing academic divisions?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Text or online location of the institution’s open access policies,"The UCC Open Access to Publications Policy was devised by Information Services and the Office of the VP for Research and Innovation working with the Academic Council Research and Innovation Committee. https://libguides.ucc.ie/openaccess/uccpublicationspolicy Authors of peer-reviewed articles and peer-reviewed conference papers resulting from research carried out at University College Cork will deposit a copy in the CORA (Cork Open Research Archive) repository. In order to comply with the policy, you should 'act on acceptance'. When your journal article or conference paper has been accepted for publication, you should either upload the accepted version through your IRIS profile or e-mail the file to cora@ucc.ie. UCC Library will make deposit as easy as possible by checking copyright and adhering to the publisher's terms and conditions.",,,text_long,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Copy of the institution’s open access policies,OpenAccessPublicationsPolicy.docx,,,text,https://reports.aashe.org/media/secure/989/8/734/6519/OpenAccessPublicationsPolicy.docx
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Does the institution provide an open access article processing charge (APC) fund for employees?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Narrative and/or website URL providing an overview of the open access APC fund,"Open Access Publishing information: https://libguides.ucc.ie/OAagreements APC can be funded via research funding and/or through the IReL consortium. UCC is a member of IReL (Irish Research eLibrary; https://libguides.ucc.ie/c.php?g=689384&p=5267387 ), and through this membership, we have publication agreements with many of the larger publishers.",,,text_long,https://libguides.ucc.ie/OAagreements https://libguides.ucc.ie/c.php?g=689384&p=5267387
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Does the institution negotiate or participate in transformative open access agreements that are consistent with ESAC guidelines?,Yes,,,boolean,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Narrative and/or website URL providing an overview of the institution’s transformative open access agreements with publishers,IRel is a member of the ESAC transformative research registry and UCC is a member of IRel. https://esac-initiative.org/about/transformative-agreements/agreement-registry/ https://libguides.ucc.ie/OAagreements,,,text_long,https://esac-initiative.org/about/transformative-agreements/agreement-registry/ https://libguides.ucc.ie/OAagreements
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,8.4 Support for open access publishing,,Points earned for indicator AC 8.4,2,,2.0,number,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,Optional documentation,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,AC-8,AC,Context,Responsible Research and Innovation,Optional documentation,,Additional documentation for this credit,,,,not_reported,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Does the institution have a central sustainability website that consolidates information about its sustainability efforts?,Yes,,,boolean,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Website URL of the institution’s central sustainability website,https://www.ucc.ie/en/sustainability/,,,url,https://www.ucc.ie/en/sustainability/
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Does the institution integrate sustainability information into the educational offerings or materials provided during new student orientation or the equivalent?,Yes,,,boolean,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Narrative outlining how sustainability information is integrated into new student orientation or the equivalent,"All new students entering UCC receive a full programme of orientation. The Student's Union and Greenshoots coordinator speak to each and every incoming student at this time, and specifically introduce them to the Green Campus programme at UCC. All incoming students are given an orientation pack, outlining the prominent aspects of ""student life"" in UCC, this orientation pack contains a page detailing the activities of Green Campus and the sustainability ethos of the university. All incoming first year students are also taken on a tour of UCC by the UCC Peer Support Leaders. The sustainability office speaks at the Peer Support Leader training day, to ensure that all are aware of the sustainability features of the campus and highlight these on the tour.",,,text_long,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Does the institution integrate sustainability information into the educational offerings or materials provided during new employee orientation or the equivalent?,Yes,,,boolean,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Narrative outlining how sustainability information is integrated into new employee orientation of the equivalent,"Every new employee to UCC undertakes an induction training session with the HR department. A slide on Green Campus is included in this session. Before a new employee even begins their role in the University they are provided with an introduction pack, which includes details on how the University is prioritising sustainability and a leader in Green Universities globally.",,,text_long,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Does the institution have dashboards and/or signage highlighting the institution’s sustainability features or performance?,Yes,,,boolean,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Description of the institution’s sustainability dashboards and/or signage,"Interactive screens are available across campus, where upcoming green campus and sustainability initiatives and events are advertised. At the Student Hub building, which is one of the busiest on campus, a large mural of the SDGs is displayed with the caption ""UCC Commites to Leave No One Behind"". A photo of the mural can be seen here- https://www.ucc.ie/en/research/sdgs/sdgsbyschoolcentre/",,,text_long,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,"Does the institution manage a sustainability-focused social media account, newsletter, blog, online community, podcast, video series, or equivalent communications medium or platform?",Yes,,,boolean,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Description of and/or website URL for at least one sustainability-focused communication medium or platform,UCC Green Campus is active across all social media platforms and the website is available here: https://www.ucc.ie/en/greencampus/ Other information on sustainability inistiatives can also be found on the Office of Sustainability and Climate Action webpage: https://www.ucc.ie/en/sustainability-climate-action/about/,,,text_long,https://www.ucc.ie/en/greencampus/ https://www.ucc.ie/en/sustainability-climate-action/about/
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Has the institution coordinated one or more sustainability-focused outreach campaigns during the previous three years?,Yes,,,boolean,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Description of sustainability-focused outreach campaigns from the previous three years,"UCC's Building and Estates team runs an annual ""Reduce your Use"" campaign, which is in conjuntion with the Office of Public Works national campaign across the civil and public service. There are weekly thematic communications rolled out on email and social media, focused on encouraging the campus community to reduce our energy consumption.",,,text_long,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.1 Sustainability outreach and communications,,Points earned for indicator EN 1.1,3,,3.0,number,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.2 Percentage of campus stakeholders reached through sustainability outreach and communications,,Does the institution collect data on the reach of its sustainability outreach and communications efforts and/or stakeholder awareness of its sustainability initiatives?,Yes,,,boolean,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.2 Percentage of campus stakeholders reached through sustainability outreach and communications,,Percentage of campus stakeholders reached annually through sustainability outreach and communications,80 to 100,,,text,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.2 Percentage of campus stakeholders reached through sustainability outreach and communications,,Approach used to determine the percentage of campus stakeholders reached annually,Communication analytics,,,text,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.2 Percentage of campus stakeholders reached through sustainability outreach and communications,,Description of the methodology used to determine the reach of the institution’s sustainability outreach and communications,UCC's committment to sustainability is highlighted throughout many of the key documents and communications that all staff and students would recieve on entering the University. All new student and staff orientation events and documents reference the Green Campus programme and highlight UCC's strength in sustainability. News items on Sustainability are sent to the staff and student body regulalry through the President's Quarterly message as well as the Office of Sustainability and Climate Action Newsletter which are published on the University's Workvivo site.,,,text_long,
University College Cork,EN-1,EN,Context,Outreach and Communications,1.2 Percentage of campus stakeholders reached through sustainability outreach and communications,,Points earned for indicator EN 1.2,2,,2.0,number,
University College Cork,EN-1,EN,Context,Outreach and Communications,Optional documentation,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,EN-1,EN,Context,Outreach and Communications,Optional documentation,,Additional documentation for this credit,,,,not_reported,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.1 Student sustainability organization,,Does the institution formally recognize at least one student organization that is sustainability-focused?,Yes,,,boolean,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.1 Student sustainability organization,,Narrative and/or website URL providing an overview of the sustainability-focused student organization(s),"Student organisations related to sustainability and the environment in UCC include the student led Green campus committee, the Students Union and a variety of student clubs and societies. The Green Campus Committee is the core student representation for sustainability activity at UCC. The university is home to 105 student societies and 49 clubs. These clubs and societies bring together students with common interests and encourage active participations, activism and social activities under the organisation theme. Details of organisations with activities directly and indirectly related to sustainability and environment are described here : 1- UCC Green Campus Programme is “Student Led, Research Informed, Practise Focussed”. The Green Campus Committee is co chaired by the Deputy President of the Student’s Union and the Chair of the Environmental Society. The committee is composed or students and staff, who collaborate on sustainability activities across the institute. 3- UCC Environmental Society: Envirosoc are primarily concerned with student activism, appreciation and conservation of the environment, through the promotion of sustainability. 4 - Animal Welfare Society: For UCC students interested in the area of animal welfare and/or people who want to get involved in the area of animal welfare. Promotes animal welfare in agriculture, and meat reduced diets. 5 - Archaeology Society: Includes themes of society, culture, built and human environments and natural heritage. 6 - Community Garden: A student group that run a community garden on campus, the garden houses three polytunnels, courses and training events on growing your own food. 7 - Co-Operative Society: A society for students interested in promoting the use of Co-Operatives, in tackling social and environmental issues. 8 - Enactus Society: Enactus is the social entrepreneurship society where students use entrepreneurial skills to do societal good - developing projects, ideas and businesses that directly impact humanity. 9 - Engineers without Borders: Aims to educate students about and contribute to sustainable development globally. Engineers Without Borders (EWB) is an international organisation attempting to bridge the gap between academia, industry and NGOs. 10 - Failte Refugees: Dedicated to welcoming refugees and asylum seekers to UCC, Cork and Ireland, working on ensuring understanding, solidarity and basic human rights in our communities 11 - Friends of MSF: International humanitarian organisation that aid to people affected by armed conflict, epidemics, natural and man-made disasters or exclusion from health care. 12 - Geological Society: Physical geography, earth science, geology and the processes that shape the natural world. 13 - International Development Society: Works closely with the Centre for Global Development in UCC to run campaigns around global sustainability. 14 - Planning Society The UCC Planning Society is a society dedicated to the issues of spatial planning and its associated fields including sustainable development. 15 - Vegan Society: Provide a social and educational environment for students who are vegan, or curious about veganism,",,,text_long,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.1 Student sustainability organization,,"Does the institution formally recognize at least one student organization that is focused on a topic other than sustainability, but is advancing ecological integrity or racial equity and social justice?",Yes,,,boolean,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.1 Student sustainability organization,,Narrative and/or website URL providing an overview of the student organizations that are advancing ecological integrity or racial equity and social justice,"UCC Students’ Union (SU) is the democratically elected, representative body for students in UCC. The SU’s main functions are to provide academic assistance to students, to provide support to students in need, to lobby the University and the government on issues affecting students, and to provide entertainment on campus. UCC's student's Union places a strong emphasis on ecological integrity, racial equity and social justice. The students union executive includes a welfare officer, campaigns officer and an environmental officer. In 2025 it voted to make the environmental officer position a full time sabbatical one.",,,text_long,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.1 Student sustainability organization,,Points earned for indicator EN 2.1,2,,2.0,number,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Has the institution hosted a major sustainability-focused event or series of events during the previous three years targeted to students?,Yes,,,boolean,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Description of and/or website URL for at least one major sustainability-focused event or series of events,https://www.ucc.ie/en/sustainability-climate-action/news/schedule-for-climate-action-week-2025.html https://www.ucc.ie/en/sustainability-climate-action/news/green-week-2025-.html,,,url,https://www.ucc.ie/en/sustainability-climate-action/news/schedule-for-climate-action-week-2025.html https://www.ucc.ie/en/sustainability-climate-action/news/green-week-2025-.html
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Does the institution have a sustainability-focused peer-to-peer education program in which student educators are selected and trained to help catalyze change among their peers?,Yes,,,boolean,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Description of and/or website URL for at least one sustainability-focused peer-to-peer education programs for students,https://www.ucc.ie/en/sustainability-climate-action/greenshoots-green-campus-coordinator/,,,url,https://www.ucc.ie/en/sustainability-climate-action/greenshoots-green-campus-coordinator/
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Does the institution regularly provide sustainability-focused employment opportunities for students on at least an annual basis?,Yes,,,boolean,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Description of and/or website URL for at least one sustainability-focused employment opportunity for students,"UCC Green Campus Programme offers both paid and accredited internships through the “UCC EmployAgility” (Formerly known as ""UCC Works"") programme. The Office of Sustainability and Climate Action employs interns to work on Green Campus activities. The UCC Works interns work a minimum of 40 hours on the programme, while paid interns work longer term, undertaking projects in the areas of transportation, carbon footprinting, behavioural change projects, engagement and communications. The students produce a reflective report at the end of the internship and receive a certificate as part of the overall Employagility end of year ceremony.",,,text_long,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Does the institution have at least one student-managed enterprise that is sustainability-focused?,Yes,,,boolean,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Description of and/or website URL for at least one student-managed enterprise that is sustainability-focused,"UCC’s Students’ Union (UCCSU) launched its Food Pantry in 2025, a sustainability initiative designed to reduce food waste and support students experiencing food insecurity. This is a partnership with FoodCloud, an Irish social enterprise dedicated to reducing food waste through the redistribution of surplus food from businesses to charities nationwide, and is supported by the UCC Alumni Fund which awards grants to projects that enrich the UCC student experience beyond the scope of government funding. The pantry will operate weekly throughout the academic year and complements the existing UCCSU Food Bank, which provides food vouchers to students. The pantry will provide students with essential ambient and fresh food items recovered through FoodCloud’s redistribution network.",,,text_long,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Description of additional sustainability-focused co-curricular activities for students,"Run by the UCC Business School, The SDG-Driven Entrepreneurship Simulation Game delivers an innovative, unique coffee shop simulation game that integrates sustainability with business decisions and strategies. https://www.ucc.ie/en/innovation/whatwedo/sdgs/",,,text_long,https://www.ucc.ie/en/innovation/whatwedo/sdgs/
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.2 Sustainability-focused co-curricular activities,,Points earned for indicator EN 2.2,2,,2.0,number,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.3 Percentage of students that participate in sustainability activities,,Does the institution collect data on the extent of student participation in its sustainability activities?,Yes,,,boolean,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.3 Percentage of students that participate in sustainability activities,,Percentage of students that participate in sustainability activities annually,50 to 100,,,text,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.3 Percentage of students that participate in sustainability activities,,Approach used to determine the percentage of students that participate in the institution’s sustainability activities annually,Conservative estimate based on mixed/limited data sources,,,text,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.3 Percentage of students that participate in sustainability activities,,Narrative outlining how student participation in the institution’s sustainability activities was determined,"There are 13,000 active members of over 100 societies in UCC https://www.ucc.ie/en/societies/ (representing 52% of the entire student population), a large proportion of these are dedicated to SDG relevant topics such as LGBT society, Environmental Society, Engineers without borders. Regardless of their thematic focus, many of the societies organise collaborations with the Green Campus Team during Green Week and Climate Action Week. See for example the 2026 Green Week schedule which includes collaborations with the UCC Chemical Society, the Pop Culture Society, the European and Slavac Society and Folklore Society: https://www.ucc.ie/en/media/support/sustainabilityandclimateaction/2026GreenWeek.pdf, This is just a sample of the types of innovative collaborations that are undertaken throughout the year with these groups. Aside from participation in Societies, UCC students also engage with sustainability activities through the UCC Graduate Attributes Programme, one example of this is the ""Your Compass"" resource - Your Compass | University College Cork, programme, which over 2,000 students have actively engaged in. Within their relevent schools students are also encouraged to engage with sustainability activities through initiatives like CUBS Leaders of Tomorrow Programme- https://www.ucc.ie/en/business-school/newsandevents/2026/cubs-leaders-of-tomorrow-2026-.html . The programme is a student-centric school-wide initiative to recognise the substantial impact of students beyond the classroom and academic grades. In its fourth year of operation, the initiative recognises students who showcase their many capabilities and talents, which align with the school’s vision to ‘Shape Leaders for a Sustainable Future For All’. A large number of students also engage with the UCC Student Union Food Pantry, which is run in collaboration with FoodCloud and places a strong emphasis on reducing food waste. https://www.uccsu.ie/news/food-pantry-uccsu-2026",,,text_long,https://www.ucc.ie/en/societies/ https://www.ucc.ie/en/media/support/sustainabilityandclimateaction/2026GreenWeek.pdf https://www.ucc.ie/en/graduateattributes/yourcompass/ https://www.ucc.ie/en/business-school/newsandevents/2026/cubs-leaders-of-tomorrow-2026-.html
University College Cork,EN-2,EN,Context,Co-Curricular Activities,2.3 Percentage of students that participate in sustainability activities,,Points earned for indicator EN 2.3,5,,5.0,number,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,Optional documentation,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,EN-2,EN,Context,Co-Curricular Activities,Optional documentation,,Additional documentation for this credit,,,,not_reported,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.1 Staff sustainability network or engagement program,,Does the institution have at least one voluntary network or engagement program open to non-academic staff that is sustainability-focused?,Yes,,,boolean,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.1 Staff sustainability network or engagement program,,Narrative and/or website URL providing an overview of the sustainability-focused staff networks and engagement programs,"The Green Campus Committee, chaired by the Student’s Union Deputy President, is open to all staff and studetns of UCC and meets regularly to discuss ideas and campaigns to improve our campus. These meetings feed into biannual meetings of the Green Campus Forum, which takes its membership from across all functions within the University. The forum ensures continuity and strategic oversight throughout the academic cycle.",,,text_long,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.1 Staff sustainability network or engagement program,,Does the institution have at least one voluntary staff network or engagement program open to non-academic staff that is focused on a topic other than sustainability that is advancing ecological integrity and/or racial equity and social justice?,Yes,,,boolean,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.1 Staff sustainability network or engagement program,,Narrative or website URL providing an overview of the staff networks and engagement programs that are advancing ecological integrity and/or racial equity and social justice,"In 2023, UCC launched the UCC Race equality Network , with co-chairs Dr Sanaa Khabbar and Dr Jatin Nagpal. It was launched as part of UCC's annual Equality Week. The foundational work for the Network began in 2019 with the establishment of the Race Equality Forum in UCC. This transition continues to highlight UCC's commitment to anti-racism as established by the Higher Education Authority's (HEA) Anti-Racism Principles. The Race Equality Network supports, strengthens and nurtures our minority ethnic staff and students in solidarity with our allies.",,,text_long,http://www.ucc.ie/en/race-equality
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.1 Staff sustainability network or engagement program,,Points earned for indicator EN 3.1,2,,2.0,number,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.2 Sustainability-focused staff training,,Does the institution make available sustainability-focused training opportunities to non-academic staff on at least an annual basis?,Yes,,,boolean,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.2 Sustainability-focused staff training,,Description of and/or website URL for at least one of the institution’s sustainability-focused staff training opportunities,"In 2024, UCC's Office of Sustainability and Climate Action in collaboration with the Sustainability Institute and Academy developed a 4-hour Climate Leadership Training Course which was delivered to all members of the University's Leadership team. In 2025 the course was also delivered to the Executive Management Committees of each of the four academic colleges in UCC and made available to all managers in the University through the Manager's Insights Hub. This training is complemented by the University's Climate Literacy Training course which is available to all staff and students - https://www.ucc.ie/en/sustainability-climate-action/education/carbon-literacy/",,,text_long,https://www.ucc.ie/en/sustainability-climate-action/education/carbon-literacy/
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.2 Sustainability-focused staff training,,Points earned for indicator EN 3.2,2,,2.0,number,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.3 Percentage of employees that participate in sustainability activities,,Does the institution collect data on the extent of employee participation in its sustainability activities?,Yes,,,boolean,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.3 Percentage of employees that participate in sustainability activities,,Percentage of employees that participate in sustainability activities annually,50 to 100,,,text,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.3 Percentage of employees that participate in sustainability activities,,Approach used to determine the percentage of employees that participate in the institution’s sustainability activities annually,Conservative estimate based on mixed/limited data sources,,,text,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.3 Percentage of employees that participate in sustainability activities,,Narrative outlining how employee participation in the institution’s sustainability activities was determined,"All staff are welcome to attend Green Campus and Green Forum meetings as well as the events run by the Green Campus committee. The entire staff population is reached through numerous means for example: - All programme directors are required to participate in SDG mapping of their programmes as part of the rollout of the new programme management software. This represents a significant propoprtion of academic staff within the institution. - All management level staff from two of the 4 Colleges within the University, as well as the University Leadership Team have undertaken Climate Leadership Training, which involves a significant element of interactive workshopping to determine actions that can be undertaken within individual schools and colleges. - As part of the ISO50001 certification of the University, the Energy Mangager works with Green Teams composed of management and technical staff within 13 of the most energy inefficient buildings in the University through the Saver Saves scheme, this involves significant engagement in developing action plans around their energy consumption as well as broader sustainability activities. - The entire community actively engages with our Zero Waste ambitions through the rolling out of plastic free UCC initiative and the requirement for everyone to bring their own cups and bottles to cafes and restaurants across campus.",,,text_long,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,3.3 Percentage of employees that participate in sustainability activities,,Points earned for indicator EN 3.3,4,,4.0,number,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,Optional documentation,,Notes about the information provided for this credit,,,,not_reported,
University College Cork,EN-3,EN,Context,Staff Engagement and Training,Optional documentation,,Additional documentation for this credit,,,,not_reported,
University College Cork,EN-4,EN,Context,Sustainability Culture Assessment,4.1 Sustainability culture assessment design and administration,,Has the institution conducted an assessment of its sustainability culture during the previous three years?,Yes,,,boolean,
University College Cork,EN-4,EN,Context,Sustainability Culture Assessment,4.1 Sustainability culture assessment design and administration,,Narrative and/or website URL providing an overview of the instruments/tools used to assess sustainability culture,"From 2023 to 2026 UCC partnered with several other Universities across Europe on the SDG4U project. More information on the project is available here: SDG4U – SDG4U As part of this project each partner conducted an awareness survey to assess knowledge, beliefs, and practices of university students, faculty, and staff. The survey questions were designed by the consortium partners who comprised researchers, professors, and heads of sustainability. The survey was administered in 2024, with plans to repeat the survey in 2026 in order to understand changes and trends over time. The survey consists of multiple-choice questions that are aimed at assessing the level of awareness on general sustainability issues, attitudes and perceptions as well as to provide a prioritization in the implementation of the SDGs in each university.",,,text_long,https://www.sdg4uproject.eu/
